Date,Value,Anomaly
189501,29.6,-2.7
189502,24.5,-8.4
189503,35.5,-5.7
189504,50.1,-1.4
189505,63.3,1.1
189506,73.8,2.8
189507,73.1,-3.3
189508,76.2,1.5
189509,71.7,3.6
189510,52.3,-5.3
189511,47.9,1.2
189512,38.4,2.4
189601,30.0,-2.3
189602,31.4,-1.5
189603,32.7,-8.5
189604,53.0,1.5
189605,67.2,5.0
189606,70.3,-0.7
189607,77.1,0.7
189608,76.5,1.8
189609,67.4,-0.7
189610,53.7,-3.9
189611,49.7,3.0
189612,34.5,-1.5
189701,30.8,-1.5
189702,33.3,0.4
189703,40.9,-0.3
189704,50.6,-0.9
189705,61.5,-0.7
189706,67.5,-3.5
189707,76.9,0.5
189708,73.4,-1.3
189709,67.1,-1.0
189710,56.8,-0.8
189711,45.7,-1.0
189712,38.6,2.6
189801,35.3,3.0
189802,36.2,3.3
189803,46.3,5.1
189804,47.9,-3.6
189805,59.1,-3.1
189806,71.8,0.8
189807,76.9,0.5
189808,75.9,1.2
189809,70.9,2.8
189810,59.5,1.9
189811,45.8,-0.9
189812,35.0,-1.0
189901,31.3,-1.0
189902,28.1,-4.8
189903,38.2,-3.0
189904,49.7,-1.8
189905,62.8,0.6
189906,74.7,3.7
189907,77.1,0.7
189908,75.9,1.2
189909,66.1,-2.0
189910,59.0,1.4
189911,46.4,-0.3
189912,38.1,2.1
190001,32.1,-0.2
190002,30.5,-2.4
190003,33.5,-7.7
190004,50.4,-1.1
190005,59.6,-2.6
190006,71.2,0.2
190007,77.7,1.3
190008,77.2,2.5
190009,70.9,2.8
190010,61.5,3.9
190011,49.1,2.4
190012,36.2,0.2
190101,32.5,0.2
190102,26.4,-6.5
190103,38.3,-2.9
190104,48.4,-3.1
190105,58.0,-4.2
190106,71.1,0.1
190107,78.7,2.3
190108,75.5,0.8
190109,68.4,0.3
190110,56.1,-1.5
190111,39.6,-7.1
190112,35.9,-0.1
190201,30.5,-1.8
190202,29.6,-3.3
190203,44.4,3.2
190204,50.9,-0.6
190205,59.3,-2.9
190206,67.2,-3.8
190207,73.2,-3.2
190208,72.4,-2.3
190209,66.5,-1.6
190210,57.9,0.3
190211,51.4,4.7
190212,32.4,-3.6
190301,30.5,-1.8
190302,33.5,0.6
